Player,Squad,Pos,PosAdj,Rol_Ideal,Rating_Final,R_FW_ST,R_FW_WG,R_FW_SS,R_DC,R_LB_OFF
Ainsley Maitland-Niles,Arsenal,MFDF,DM,LB_OFF,62.0325,37.487500000000004,53.84,52.84200000000001,46.68000000000001,62.0325
Stuart Dallas,Leeds United,MFDF,DM,LB_OFF,61.825,77.16000000000001,68.43999999999998,72.06600000000002,43.1,61.825
Nélson Semedo,Wolves,DFMF,DM,LB_OFF,61.769999999999996,60.160000000000004,62.6675,63.805,51.14,61.769999999999996
Enda Stevens,Sheffield Utd,DF,DF,LB_OFF,61.7425,55.1175,54.77400000000001,62.025,29.435000000000002,61.7425
James Ward-Prowse,Southampton,MF,MF,AM,61.732499999999995,67.93750000000001,54.3225,61.668000000000006,59.74499999999999,62.35249999999999
Jamie Vardy,Leicester City,FW,FW,FW_ST,61.69499999999999,61.69499999999999,45.895,47.69600000000002,32.65,25.854999999999997
Manuel Lanzini,West Ham,MFFW,AM,AM,61.57249999999999,49.372499999999995,46.567,56.40000000000001,60.379999999999995,59.625
André Gomes,Everton,MF,MF,MC_EST,61.405,40.660000000000004,44.706999999999994,48.99700000000001,47.769999999999996,56.38
Paul Pogba,Manchester Utd,MFFW,AM,AM,61.39,44.544999999999995,46.524499999999996,53.35200000000002,85.62,71.2325
Ola Aina,Fulham,DF,DF,LB_OFF,61.35500000000001,57.46250000000001,55.739000000000004,59.717000000000006,38.045,61.35500000000001
Declan Rice,West Ham,MF,MF,MC_DEF,61.185,52.2575,44.68000000000001,46.47500000000001,69.495,54.982499999999995
Tyrick Mitchell,Crystal Palace,DF,DF,LB_OFF,61.1075,52.29750000000001,52.072,52.56800000000001,34.455,61.1075
Michael Keane,Everton,DF,DF,DC,61.06,58.507500000000014,44.736000000000004,47.916000000000004,61.06,40.032500000000006
Lewis Dunk,Brighton,DF,DF,DC,61.045,64.335,50.0575,51.199,61.045,46.252500000000005
Ozan Kabak,Liverpool,DF,DF,LB_DEF,60.71750000000001,21.21,22.1275,19.608999999999998,56.62999999999999,38.18
Andre-Frank Zambo Anguissa,Fulham,MF,MF,MC_EST,60.565,49.23500000000001,55.038000000000004,55.72400000000001,55.540000000000006,62.192499999999995
Jan Bednarek,Southampton,DF,DF,DC,60.519999999999996,37.09,34.047,35.356,60.519999999999996,42.57
Harry Winks,Tottenham,MF,MF,MC_DEF,60.155,17.855,19.086999999999996,20.883999999999997,61.86,47.25
Ezgjan Alioski,Leeds United,DFMF,DM,LB_OFF,60.125,65.9825,56.713499999999996,64.248,43.464999999999996,60.125
Kieran Tierney,Arsenal,DF,DF,LB_OFF,60.012499999999996,60.7825,68.99349999999998,76.43600000000002,11.679999999999998,60.012499999999996
Dwight McNeil,Burnley,MF,MF,AM,60.01,54.43500000000001,60.053500000000014,62.044,29.665000000000003,53.779999999999994
Tyrone Mings,Aston Villa,DF,DF,DC,59.964999999999996,53.12750000000001,45.6775,43.915000000000006,59.964999999999996,45.2825
Nicolas Pépé,Arsenal,FW,FW,FW_ST,59.82000000000001,59.82000000000001,55.31699999999999,54.54,74.48,63.12500000000001
Adam Lallana,Brighton,MFFW,AM,AM,59.787499999999994,36.55499999999999,35.8665,47.853,66.44500000000001,64.635
Ryan Fredericks,West Ham,DFFW,DF,LB_OFF,59.74500000000001,68.83999999999997,73.00200000000001,78.47800000000001,25.81,59.74500000000001
Bertrand Traoré,Aston Villa,FW,FW,FW_SS,59.56700000000002,45.135,55.10649999999999,59.56700000000002,68.52,76.57
Patrick Bamford,Leeds United,FW,FW,FW_ST,59.31000000000002,59.31000000000002,40.816,39.671000000000014,38.07,24.83
Joël Matip,Liverpool,DF,DF,LB_DEF,59.2775,74.13250000000001,53.823499999999996,58.535000000000004,58.565000000000005,52.3475
Ferrán Torres,Manchester City,FWMF,AM,FW_WG,59.08899999999999,72.55999999999999,59.08899999999999,57.918,34.72,30.415
James Tarkowski,Burnley,DF,DF,DC,58.945,59.772500000000015,44.75600000000001,47.24100000000001,58.945,44.37750000000001
Tanguy Ndombele,Tottenham,MF,MF,AM,58.85000000000001,65.3075,65.6905,63.762,23.360000000000003,49.32749999999999
Dan Burn,Brighton,DF,DF,LB_OFF,58.8225,69.465,60.4375,64.245,50.64500000000001,58.8225
Kai Havertz,Chelsea,MFFW,AM,FW_SS,58.728,74.44750000000002,55.59150000000001,58.728,51.85,41.29249999999999
Mason Holgate,Everton,DF,DF,DC,58.61,44.98500000000001,45.11299999999999,47.232,58.61,55.10249999999999
Dara O'Shea,West Brom,DF,DF,DC,58.51,26.962500000000002,29.3985,33.855000000000004,58.51,47.19499999999999
Fabián Balbuena,West Ham,DF,DF,DC,58.455,39.87500000000001,28.169500000000003,25.653000000000006,58.455,34.3975
