Temporada,Jugador,Destino,RTG,SVD (€M),Costo Real (€M),Desviación %,Clasificación
2021,Remo Freuler,Nott'm Forest,88.8,86.3,8.3,939.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Fabián Ruiz Peña,PSG,87.9,80.9,22.5,259.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Cheick Doucouré,Crystal Palace,86.8,68.9,22.6,204.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Erling Haaland,Man City,86.5,76.0,60.0,26.8,🔵 Negocio Favorable (Leve Gema)
2021,Konstantinos Mavropanos,Stuttgart,86.2,73.6,3.2,2200.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Idrissa Gana Gueye,Everton,84.5,49.1,4.0,1126.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Raheem Sterling,Chelsea,84.3,77.3,56.2,37.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Renato Sanches,PSG,84.2,48.1,15.0,220.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Hiroki Ito,Stuttgart,83.8,59.4,0.4,14737.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Nico Schlotterbeck,Dortmund,83.3,60.5,20.0,202.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Jean Onana,Lens,81.9,41.9,4.0,947.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,David Raum,Leipzig,81.1,51.6,26.0,98.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Salis Abdul Samed,Lens,81.0,42.7,5.0,754.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Gianluca Caprari,Hellas Verona,80.8,56.4,5.0,1028.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Luis Díaz,Liverpool,80.4,34.1,49.0,-30.4,🟠 Ligero Sobreprecio
2021,Yves Bissouma,Tottenham,80.0,51.2,29.2,75.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Oriol Romeu,Girona,79.4,54.1,5.5,882.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Giulian Biancone,Nott'm Forest,79.3,36.0,10.0,260.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Jonathan Clauss,Marseille,78.8,38.2,7.5,409.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Hassane Kamara,Udinese,78.4,41.3,19.0,117.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Hassane Kamara,Watford,78.4,41.3,4.0,931.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Johan Vásquez,Genoa,77.9,38.1,3.5,988.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Gabriel Jesus,Arsenal,77.3,44.1,52.2,-15.5,🟠 Ligero Sobreprecio
2021,Manuel Akanji,Man City,77.0,35.3,20.0,76.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Kalvin Phillips,Man City,77.0,37.6,49.0,-23.3,🟠 Ligero Sobreprecio
2021,Jordan Veretout,Marseille,76.9,36.0,12.4,189.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Filip Kostić,Juventus,76.8,36.1,14.7,145.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Marc Cucurella,Chelsea,76.8,44.5,65.3,-31.9,🟠 Ligero Sobreprecio
2021,Andre-Frank Zambo Anguissa,Napoli,76.6,33.4,16.0,108.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Zeki Çelik,Roma,76.5,30.7,7.4,314.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Nayef Aguerd,West Ham,76.5,30.8,35.0,-11.9,🟢 Categoría A: Tasación de Precisión
2021,Rodrigo Bentancur,Tottenham,76.1,28.7,19.0,50.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Luan Peres Petroni,Fenerbahçe,75.8,28.9,5.2,452.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Moussa Niakhate,Nott'm Forest,75.7,33.2,13.8,140.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Salih Özcan,Dortmund,75.5,32.3,5.0,546.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Reinildo Mandava,Atlético,75.1,23.3,3.0,676.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Lucas Torreira,Galatasaray,74.5,29.4,6.0,389.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Diego Carlos,Aston Villa,74.3,31.3,31.0,1.0,🟢 Categoría A: Tasación de Precisión
2021,Lucas Paquetá,West Ham,73.7,27.5,43.0,-35.9,🟠 Ligero Sobreprecio
2021,Amine Gouiri,Stade Rennais,73.6,27.5,28.0,-1.8,🟢 Categoría A: Tasación de Precisión
2021,Sadio Mané,Bayern Munich,73.6,37.4,32.0,17.0,🔵 Negocio Favorable (Leve Gema)
2021,Samuele Ricci,Torino,73.3,24.1,10.8,123.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Igor,Ludogorets,73.2,26.1,1.3,1876.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Arthur Theate,Stade Rennais,73.2,26.5,19.0,39.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Arthur Theate,Bologna,73.2,26.5,6.8,293.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Mattéo Guendouzi,Marseille,72.7,24.3,11.0,120.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Jules Koundé,Barcelona,72.2,25.6,50.0,-48.7,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2021,Sofiane Diop,Nice,72.2,22.0,22.0,-0.2,🟢 Categoría A: Tasación de Precisión
2021,Thomas Monconduit,Saint-Étienne,72.1,20.6,0.5,4010.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Jimmy Cabot,Lens,72.0,19.5,2.0,873.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Cristian Romero,Tottenham,72.0,25.6,53.8,-52.4,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2021,Petar Stojanović,FC Empoli,71.9,25.0,1.2,1983.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Philippe Coutinho,Aston Villa,71.2,24.9,20.0,24.8,🔵 Negocio Favorable (Leve Gema)
2021,Nicolò Casale,Lazio,71.2,23.1,8.0,188.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Raphinha,Barcelona,71.1,30.9,58.0,-46.8,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2021,Duje Ćaleta-Car,Southampton,71.1,18.1,8.0,125.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Emerson,West Ham,71.0,25.5,15.4,65.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Rafael Czichos,Chicago,70.9,19.0,0.5,4073.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2021,Romain Faivre,Lyon,70.9,19.2,15.0,27.7,🔵 Negocio Favorable (Leve Gema)
2021,Brais Méndez,Real Sociedad,70.7,23.9,14.0,70.4,💎 Categoría B: Ineficiencia Explotada (Gema)
